FECHA INICIO;HORA INICIO;FECHA FIN;HORA FIN;EPISODIO;ESCENARIO;MEDIDA;ÁMBITO GEOGRÁFICO;CATEGORÍA AMBIENTAL A;CATEGORÍA AMBIENTAL B;CATEGORÍA AMBIENTAL C;CATEGORÍA AMBIENTAL ECO;CATEGORÍA AMBIENTAL CERO
11/12/2018;6:00;12/12/2018;5:59;1;1;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
11/12/2018;6:00;12/12/2018;5:59;1;1;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
11/12/2018;6:00;12/12/2018;5:59;1;1;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
12/12/2018;6:00;12/12/2018;23:59;1;2;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
12/12/2018;6:00;12/12/2018;23:59;1;2;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
12/12/2018;6:00;12/12/2018;23:59;1;2;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
12/12/2018;6:30;12/12/2018;22:00;1;2;PROHIBICIÓN CIRCULACIÓN;M30 E INTERIOR M30;1;;;;
12/12/2018;9:00;12/12/2018;21:00;1;2;PROHIBICIÓN ESTACIONAMIENTO;ZONA SER;1;1;1;;
25/12/2018;6:00;28/12/2018;5:59;2;1;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
25/12/2018;6:00;28/12/2018;5:59;2;1;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
25/12/2018;6:00;28/12/2018;5:59;2;1;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
28/12/2018;6:00;28/12/2018;23:59;2;2;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
28/12/2018;6:00;28/12/2018;23:59;2;2;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
28/12/2018;6:00;28/12/2018;23:59;2;2;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
28/12/2018;6:30;28/12/2018;22:00;2;2;PROHIBICIÓN CIRCULACIÓN;M30 E INTERIOR M30;1;;;;
28/12/2018;9:00;28/12/2018;21:00;2;2;PROHIBICIÓN ESTACIONAMIENTO;ZONA SER;1;1;1;;
01/01/2019;6:00;06/01/2019;23:59;3;1;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
01/01/2019;6:00;06/01/2019;23:59;3;1;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
01/01/2019;6:00;06/01/2019;23:59;3;1;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
15/01/2019;6:00;16/01/2019;5:59;4;1;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
15/01/2019;6:00;16/01/2019;5:59;4;1;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
15/01/2019;6:00;16/01/2019;5:59;4;1;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
16/01/2019;6:00;18/01/2019;5:59;4;2;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
16/01/2019;6:00;18/01/2019;5:59;4;2;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
16/01/2019;6:00;18/01/2019;5:59;4;2;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
16/01/2019;6:30;16/01/2019;22:00;4;2;PROHIBICIÓN CIRCULACIÓN;M30 E INTERIOR M30;1;;;;
16/01/2019;9:00;16/01/2019;21:00;4;2;PROHIBICIÓN ESTACIONAMIENTO;ZONA SER;1;1;1;;
17/01/2019;6:30;17/01/2019;22:00;4;2;PROHIBICIÓN CIRCULACIÓN;M30 E INTERIOR M30;1;;;;
17/01/2019;9:00;17/01/2019;21:00;4;2;PROHIBICIÓN ESTACIONAMIENTO;ZONA SER;1;1;1;;
18/01/2019;6:00;18/01/2019;23:59;4;1;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
18/01/2019;6:00;18/01/2019;23:59;4;1;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
18/01/2019;6:00;18/01/2019;23:59;4;1;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
26/02/2019;6:00;01/03/2019;23:59;5;1;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
26/02/2019;6:00;01/03/2019;23:59;5;1;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
26/02/2019;6:00;01/03/2019;23:59;5;1;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
09/01/2020;6:00;10/01/2020;23:59;6;1;INFORMATIVAS Y RECOMENDACIÓN;TODA LA CIUDAD;;;;;
09/01/2020;6:00;10/01/2020;23:59;6;1;PROMOCIÓN TRANSPORTE PÚBLICO;TODA LA CIUDAD;;;;;
09/01/2020;6:00;10/01/2020;23:59;6;1;REDUCCIÓN VELOCIDAD A 70 KM/H;M30 Y ACCESOS;1;1;1;1;1
